transaction_date,account_name,category_type,category_name,amount,item_name,tags,description,memo
2025-04-02,JCBカード,expense,食費,-5800,レストラン,外食,家族での外食,誕生日祝い
2025-04-03,JCBカード,expense,ショッピング,-12000,衣料品店,衣類,春物衣料,セール品
2025-04-05,JCBカード,expense,エンタメ,-1500,映画館,娯楽,映画鑑賞,最新作
2025-04-08,JCBカード,expense,日用品,-3400,ホームセンター,家具,収納ボックス,リビング用
2025-04-10,JCBカード,expense,交通費,-2800,タクシー,出張,取引先訪問,雨天のため
2025-04-12,JCBカード,expense,食費,-4200,スーパー,食品,週末の買い物,パーティ用
2025-04-15,JCBカード,expense,ギフト,-8500,デパート,プレゼント,母の日ギフト,
2025-04-18,JCBカード,expense,美容,-6200,美容院,ヘアケア,カット＆カラー,
2025-04-20,JCBカード,expense,サブスク,-1200,動画配信,エンタメ,月額配信サービス,
2025-04-23,JCBカード,expense,ペット,-3500,ペットショップ,ペット用品,ドッグフード,1ヶ月分
2025-04-25,JCBカード,expense,ショッピング,-9800,家電量販店,電化製品,コーヒーメーカー,
2025-04-28,JCBカード,expense,通信費,-2500,Wi-Fiルーター,通信,モバイルデータ料金,出張用
