transaction_date,account_name,category_type,category_name,amount,item_name,tags,description,memo
2025-04-05,SBI証券,expense,投資,-50000,株式購入,投資,日本株,長期保有目的
2025-04-07,SBI証券,income,配当金,3200,株式配当,投資,四半期配当,源泉徴収後
2025-04-10,SBI証券,expense,投資,-30000,ETF購入,投資,米国ETF,定期買付
2025-04-12,SBI証券,income,売却益,12500,株式売却,投資,利益確定,短期売買
2025-04-15,楽天証券,expense,投資,-25000,投資信託,投資,インデックスファンド,積立設定
2025-04-18,楽天証券,income,配当金,1800,ETF分配金,投資,海外ETF,為替影響あり
2025-04-20,楽天証券,expense,手数料,-500,取引手数料,投資,購入手数料,一般口座
2025-04-22,マネックス証券,expense,投資,-100000,外国株,投資,米国株,テクノロジー銘柄
2025-04-25,マネックス証券,income,売却益,8500,投資信託解約,投資,一部解約,資金需要のため
2025-04-27,PayPay証券,expense,投資,-10000,株式購入,投資,少額投資,スマホアプリで購入
2025-04-28,PayPay証券,income,配当金,750,株式配当,投資,外国株配当,為替影響あり
2025-04-30,日本銀行,income,利子,120,普通預金利息,投資,預金利息,普通口座
