transaction_date,account_name,category_type,category_name,amount,item_name,tags,description,memo
2025-04-01,三菱UFJ銀行,expense,食費,-3500,スーパー,食品,週末の買い物,特売品を購入
2025-04-01,三菱UFJ銀行,expense,交通費,-1200,電車,通勤,通勤定期,
2025-04-02,三菱UFJ銀行,expense,住居費,-85000,家賃,,4月分家賃,
2025-04-03,三菱UFJ銀行,expense,光熱費,-7800,電気代,,3月分電気代,
2025-04-03,三菱UFJ銀行,expense,通信費,-4500,携帯電話料金,,3月分携帯電話,
2025-04-05,三菱UFJ銀行,expense,食費,-4200,飲食店,外食,友人との食事,居酒屋
2025-04-07,三菱UFJ銀行,expense,日用品,-2500,ドラッグストア,日用品,シャンプー・洗剤など,
2025-04-10,三菱UFJ銀行,income,給与,250000,会社給与,,4月分給与,ボーナス含む
2025-04-15,三菱UFJ銀行,expense,趣味,-12000,書籍,本,技術書,プログラミング関連
2025-04-18,三菱UFJ銀行,expense,医療費,-5500,病院,健康,定期検診,
2025-04-20,三菱UFJ銀行,expense,食費,-3800,スーパー,食品,週末の買い物,
2025-04-25,三菱UFJ銀行,expense,教育費,-15000,オンライン講座,スキルアップ,プログラミング講座,Webアプリケーション開発
